descricao_produto;cod_prod;subgrupo;CB_DIEESE;CB_ACT;CB_MDS;Alim_desc1;Alim_desc2;IS_UPP;IS;IBS/CBS - 25% - Tax Burden;IBS/CBS - 25% - % General Tax Regime;IBS/CBS - 25% Impacts;IBS/CBS - 25% Value;IBS/CBS - 25% - % Simples Tax Regime;IBS/CBS - 25% Simples Impacts;IBS/CBS - 25% Simples Value;IBS/CBS - 26.9% - Tax Burden;IBS/CBS - 26.9% - % General Tax Regime;IBS/CBS - 26.9% Impacts;IBS/CBS - 26.9% Value;IBS/CBS - 26.9% - % Simples Tax Regime;IBS/CBS - 26.9% Simples Impacts;IBS/CBS - 26.9% Simples Value
MACA IMPORTADA;6803011;Maçã;0;1;1;0;0;0;0;0.066169971;0.903132791;0.133907929;1344156.249;0.096867209;0.122005556;142656.691;0.066169971;0.903132791;0.15114333;1364587.424;0.096867209;0.136140333;144453.8484
MACA IMPORTADA ORGANICA;6808611;Maçã;0;1;1;0;0;0;0;0.066169971;0.903132791;0.133907929;149249.006;0.096867209;0.122005556;15839.95116;0.066169971;0.903132791;0.15114333;151517.5909;0.096867209;0.136140333;16039.49935
MACA NACIONAL;6803008;Maçã;0;1;1;0;0;0;0;0.066169971;0.903132791;0.133907929;27651160.62;0.096867209;0.122005556;2934646.236;0.066169971;0.903132791;0.15114333;28071458.27;0.096867209;0.136140333;2971616.258
MACA NACIONAL ORGANICA;6808608;Maçã;0;1;1;0;0;0;0;0.066169971;0.903132791;0.133907929;112136.6418;0.096867209;0.122005556;11901.17762;0.066169971;0.903132791;0.15114333;113841.1188;0.096867209;0.136140333;12051.10601
MACA ORGANICA;6808601;Maçã;0;1;1;0;0;0;0;0.066169971;0.903132791;0.133907929;390655.5727;0.096867209;0.122005556;41460.67941;0.066169971;0.903132791;0.15114333;396593.5374;0.096867209;0.136140333;41982.99185
MACA REFRIGERANTE;8204102;Bebidas adocadas;0;0;0;0;0;1;0;0.253487662;0.903132791;-0.079114423;59551.50946;0.096867209;-0.170222355;5755.380072;0.253487662;0.903132791;-0.065116962;60456.6924;0.096867209;-0.162271979;5810.524287
MACA SECA OU DESIDRATADA;6902405;Demais alimentos;0;0;0;0;1;0;0;0.301670591;0.903132791;-0.129792374;171444.1635;0.096867209;0.058449145;22366.34358;0.301670591;0.903132791;-0.116565218;174050.1148;0.096867209;0.069646513;22602.95785
MACA VERDE;6803005;Maçã;0;1;1;0;0;0;0;0.066169971;0.903132791;0.133907929;2931663.016;0.096867209;0.122005556;311140.4238;0.066169971;0.903132791;0.15114333;2976224.294;0.096867209;0.136140333;315060.1019
MACA VERDE ORGANICA;6808605;Maçã;0;1;1;0;0;0;0;0.066169971;0.903132791;0.133907929;83153.44776;0.096867209;0.122005556;8825.161295;0.066169971;0.903132791;0.15114333;84417.38017;0.096867209;0.136140333;8936.338719
MACA VERMELHA;6803006;Maçã;0;1;1;0;0;0;0;0.066169971;0.903132791;0.133907929;13941327.1;0.096867209;0.122005556;1479607.444;0.066169971;0.903132791;0.15114333;14153235.27;0.096867209;0.136140333;1498247.21
MACA VERMELHA ORGANICA;6808606;Maçã;0;1;1;0;0;0;0;0.066169971;0.903132791;0.133907929;81113.02384;0.096867209;0.122005556;8608.608997;0.066169971;0.903132791;0.15114333;82345.9418;0.096867209;0.136140333;8717.058343
MACACAO DE MOTOQUEIRO;3401901;Roupa de homem;0;0;0;0;0;0;0;0.304819619;0.43983186;-0.137021014;118977.5908;0.56016814;-0.006594556;174430.8129;0.304819619;0.43983186;-0.123903733;120786.0502;0.56016814;0.001224182;175803.6952
MACACAO FEMININO (EXCETO DE MOTOQUEIRA);3500601;Roupa de mulher;0;0;0;0;0;0;0;0.304819619;0.43983186;-0.137021014;19663620.42;0.56016814;-0.006594556;28828464.84;0.304819619;0.43983186;-0.123903733;19962507.45;0.56016814;0.001224182;29055363.35
MACACAO INFANTIL;3600601;Roupa de crianca;0;0;0;0;0;0;0;0.304819619;0.43983186;-0.137021014;15323187.76;0.56016814;-0.006594556;22465037.98;0.304819619;0.43983186;-0.123903733;15556100.22;0.56016814;0.001224182;22641852.24
MACACAO MASCULINO (EXCETO DE MOTOQUEIRO);3402801;Roupa de homem;0;0;0;0;0;0;0;0.304819619;0.43983186;-0.137021014;118979.6483;0.56016814;-0.006594556;174433.8293;0.304819619;0.43983186;-0.123903733;120788.1389;0.56016814;0.001224182;175806.7354
MACACO HIDRAULICO;1601445;Mobiliario e artigos do  lar;0;0;0;0;0;0;0;0.324826923;0.56189617;-0.1703393;1500.496419;0.43810383;-0.083256269;1292.716737;0.324826923;0.56189617;-0.157728458;1523.303964;0.43810383;-0.07532012;1303.907642
