"coorte","sigla_uf","id_municipio","instrucao","ocupacao","curso_stem","cbo_2002","cbo_agregado","cbo_agregado_nome","cbo_agregado_nome_caser.laverde.rothwell","stem_background","tenure","tenure_rais","tenure_old","situacao","sigla_partido","idade","genero","populacao","densidade","idhm","renda_pc","per_populacao_urbana","per_populacao_homens","tx_med_ch","tx_med","tx_enf_ch","tx_enf","pct_desp_recp_saude_mun","cob_esf","tx_leito_sus","ideology_party","ideology_municipality","reeleito","mulher","ens_sup","sch_non_stem_cdt","X","Y_deaths_sivep","Y_hosp","T","T_X","barreiras_sanitarias","mascaras","restricao_atv_nao_essenciais","restricao_circulacao","restricao_transporte_publico","total_nfi"
"2020","AL","270560",7,"arquiteto",0,"318505","3185","Others","Architecture and engineering","1",8.9,8.9,.,.,"PL",33,"feminino",12837,58.6551487371722,0.521,10.7455739974976,-38.5817642211914,50.0282508677052,0.659859538078308,0.403583824634552,0.322867065668106,0.322867065668106,19.41,100,0,0.462572066,0.274614603326,FALSE,TRUE,TRUE,FALSE,0.0568450312717164,31.1599283321648,85.6898029134533,1,0.0568450312717164,.,.,.,.,.,.
"2020","SP","352460",7,"farmaceutico",.,.,.,.,.,"0",0,.,.,.,"PSD",56,"masculino",17911,25.3496925545662,0.717,24.1995391845703,-43.4387741088867,51.0468257541648,0.655673146247864,0.562809526920319,1.01305723190308,0.787933349609375,37.08,89.03,0,0.424576552,0.16118693809,FALSE,FALSE,TRUE,TRUE,-0.00830737279335408,139.579029646586,681.145664675339,0,0,1,1,1,1,1,5
"2020","SP","355680",7,"prefeito",0,"395105","3951","Others","Architecture and engineering","1",6.4,6.4,6,"deferido","PTB",57,"masculino",19133,84.6384905799032,0.739,17.683952331543,-1.85359811782837,50.4104376189182,1.05871164798737,0.815438985824585,0.80592554807663,0.761076390743256,28.8,56.52,163.087799072266,0.230388573,0.052022487785,TRUE,FALSE,TRUE,FALSE,0.23825159039606,480.844614017666,1108.03324099723,1,0.23825159039606,1,1,1,1,.,.
"2020","AC","120005",7,"professor de ensino medio",.,.,.,.,.,"0",0,.,.,.,"PT",37,"masculino",7649,1.35459649087537,0.588,13.5628099441528,-36.4427795410156,50.1078981441519,0.899151206016541,0.863185167312622,0.755286991596222,0.863185167312622,15.19,100,158.250610351562,-0.618503589,0.018538277819,FALSE,FALSE,TRUE,TRUE,-0.1299055613851,91.5152307491175,117.66243953458,0,0,.,.,.,.,.,.
"2020","PA","150808",7,"medico",.,.,.,.,.,"0",0,.,0,"deferido","PSDB",56,"masculino",40661,14.8483997016629,0.659,21.660213470459,-18.6620101928711,51.7087508350033,0.784903168678284,0.480961918830872,0.480961918830872,0.480961918830872,20.56,56.44,301.937194824219,0.504912877,0.238043207986,FALSE,FALSE,TRUE,TRUE,-0.0930479123542182,147.561545461253,801.751063672807,0,0,1,1,1,1,0,4
"2020","MG","316570",7,"servidor publico civil aposentado",.,.,.,.,.,"0",0,.,.,.,"PV",67,"masculino",7902,46.247635064116,0.644,10.9739265441895,-33.5918769836426,50.5709410683817,0.899068117141724,0.787504911422729,0.754692196846008,0.787504911422729,21.4,100,301.876892089844,-0.031141703,0.00321069340599997,FALSE,FALSE,TRUE,TRUE,-0.385944476800621,50.6200961781827,291.065553024551,0,0,0,1,0,1,0,2
"2020","RN","240830",7,"prefeito",.,.,.,.,.,"0",0,.,0,"deferido","MDB",47,"masculino",37554,134.680074047929,0.629,13.6259803771973,-29.6094341278076,49.4105531315212,0.506111264228821,0.460717082023621,0.699205935001373,0.704626142978668,20.81,100,97.5636215209961,0.41641139,0.106436328964,TRUE,FALSE,TRUE,TRUE,-0.341678008944196,61.2451403312563,170.421260052192,0,0,.,.,.,.,.,.
"2020","RJ","330160",7,"medico",.,.,.,.,.,"0",0,.,0,"deferido","MDB",51,"masculino",11563,29.64595990158,0.659,21.8114738464355,-27.6611633300781,50.3527959075675,2.38578248023987,1.76397955417633,1.10248720645905,1.14658665657043,28.85,62.18,141.118362426758,0.41641139,0.208953741378,FALSE,FALSE,TRUE,TRUE,-0.0533467539003523,17.296549338407,129.724120038052,0,0,.,.,.,.,.,.
"2020","SP","352430",7,"professor de ensino superior",.,.,.,.,.,"0",0,.,.,.,"PATRIOTA",41,"masculino",78029,107.302272000362,0.778,39.6661033630371,-1.90626454353333,48.6273835656291,2.05661058425903,1.74552381038666,0.860199391841888,0.806643545627594,32.52,43.68,78.0196228027344,0.3464803195,0.116511361702,FALSE,FALSE,TRUE,TRUE,-0.242250149611011,222.994015045688,820.207871432416,0,0,0,1,0,1,1,3
"2020","MG","311610",7,"administrador",0,"311505","3115","Others","Installation, maintenance, and repair","1",12,47.9,.,.,"PSD",35,"masculino",15334,18.8449423650722,0.598,6.78469276428223,-60.3847961425781,49.5910153206959,0.53882110118866,0.454427421092987,0.762788891792297,0.779018461704254,19.64,100,0,0.424576552,-0.082630945004,FALSE,FALSE,TRUE,TRUE,0.257115446114487,19.5643667666623,65.2145558888744,1,0.257115446114487,1,1,1,1,1,5
"2020","BA","293070",6,"prefeito",.,.,.,.,.,"0",0,.,.,.,"MDB",54,"masculino",137117,660.799595191912,0.675,43.5401153564453,-9.1583194732666,48.8168007288414,0.919033229351044,0.443845719099045,0.437810987234116,0.358191281557083,22.89,36.69,44.3845710754395,0.41641139,0.075473250572,TRUE,FALSE,FALSE,FALSE,-0.152895727721723,94.8095422157719,363.193477103496,0,0,.,.,.,.,.,.
"2020","MG","316400",7,"advogado",.,.,.,.,.,"0",0,.,.,.,"PSL",54,"masculino",7634,20.5691527267039,0.659,15.4423179626465,-17.4841365814209,49.2463553249321,0.488015830516815,0.617741525173187,0.370644927024841,0,22.58,100,0,0.760155427,0.037510598494,FALSE,FALSE,TRUE,TRUE,-0.0715054921387034,144.092219020173,392.978779145926,0,0,1,1,1,1,0,4
"2020","SC","420830",7,"prefeito",.,.,.,.,.,"0",0,.,0,"deferido","PSD",51,"feminino",69323,987.64769994637,0.796,31.6580276489258,-1.4439480304718,48.7671232876712,1.10642778873444,0.772743225097656,0.520284533500671,0.474183350801468,24.8,87.79,35.1246910095215,0.424576552,0.145780174257,TRUE,TRUE,TRUE,TRUE,-0.348342778636442,210.608311815703,781.847294548707,0,0,0,1,0,1,1,3
